Symbol,Name,Price,Market Cap,Sector,Industry,Score,Status,Fail Codes,Rev Growth,Gross Margin,ROIC,Insider Own,PEG,Z-Score
APLD,Applied Digital Corporation,26.7691,7484260864.0,Technology,Unknown,20,Fail,"FAIL_MCAP,FAIL_PRICE,FAIL_GM,FAIL_GM_TREND,FAIL_ROIC,FAIL_PS,FAIL_FLOAT,FAIL_INSIDER",2.501,0.19615,-0.11087332455147975,0.13274,0.39984006397441024,3.013978326544416
SCM,Stellus Capital Investment Corporation,9.7,280788352.0,Financial Services,Unknown,60,Fail,"FAIL_GROWTH,FAIL_ROIC,FAIL_FLOAT,FAIL_INSIDER",-0.016,1.0,0.08089822646739248,0.03912,-5.56192625,3.0
SNYR,Synergy CHC Corp.,1.32,14852448.0,Healthcare,Unknown,80,Fail,"FAIL_MCAP,FAIL_GROWTH",0.124,0.71083,0.5925802623361399,0.56452,0.3801843548387097,-0.18000112389542977
MAS,Masco Corporation,60.82,12383382528.0,Industrials,Unknown,50,Fail,"FAIL_MCAP,FAIL_PRICE,FAIL_GROWTH,FAIL_FLOAT,FAIL_INSIDER",-0.019,0.35678002,0.3922546854714322,0.00225,-8.292882631578948,3.7947972397965724
BLX,"Banco Latinoamericano de Comercio Exterior, S. A.",49.38,1819609984.0,Financial Services,Unknown,40,Fail,"FAIL_PRICE,FAIL_GROWTH,FAIL_GM,FAIL_ROIC,FAIL_PS,FAIL_INSIDER",0.121,0.0,0.0,0.0,0.6679200826446281,3.0
FRAF,Franklin Financial Services Corporation,47.88,214557904.0,Financial Services,Unknown,70,Fail,"FAIL_PRICE,FAIL_GM,FAIL_INSIDER",0.547,0.0,0.29176978144662785,0.06285,0.18466667276051188,3.0
JD,"JD.com, Inc.",28.315,40963166208.0,Consumer Cyclical,Unknown,20,Fail,"FAIL_MCAP,FAIL_PRICE,FAIL_GROWTH,FAIL_GM,FAIL_GM_TREND,FAIL_PEG,FAIL_FLOAT,FAIL_INSIDER",0.015,0.09308,,0.00802,10.094474,
PHG,Koninklijke Philips N.V.,27.79,26640594944.0,Healthcare,Unknown,30,Fail,"FAIL_MCAP,FAIL_PRICE,FAIL_GROWTH,FAIL_ROIC,FAIL_PEG,FAIL_FLOAT,FAIL_INSIDER",0.011,0.45183,0.07035544434833509,0.0,23.833621818181822,2.1380855316771115
FBLA,"FB Bancorp, Inc.",13.225,193692720.0,Financial Services,Unknown,50,Fail,"FAIL_GROWTH,FAIL_GM,FAIL_ROIC,FAIL_PS,FAIL_INSIDER",-0.189,0.0,0.04253698071081201,0.1385,-3.180615873015873,3.0
HCA,"HCA Healthcare, Inc.",511.19,114313437184.0,Healthcare,Unknown,50,Fail,"FAIL_MCAP,FAIL_PRICE,FAIL_GROWTH,FAIL_PEG,FAIL_FLOAT",0.067,0.415,0.2296729665637087,0.16158001,2.6912526865671644,2.8386792855662404
