Symbol,Name,Price,Market Cap,Sector,Industry,Rev Growth,Gross Margin,ROIC,EPS TTM,Forward EPS,P/B,5Y Avg P/E,20M MA,Monthly Closes,Quarterly EPS,EPS YoY Growth,Revenue YoY Growth,Previous EPS TTM,Consecutive Growth
005930.KS,삼성전자,317000.0,1853270318736000.0,Korea Equity,Unknown,0.795360638787227,0.0,0.04754943043339162,,,,,,[],"[null, null, null, null]",,0.795360638787227,,0
000660.KS,SK하이닉스,2333000.0,1662734617545000.0,Korea Equity,Unknown,1.3648929471032745,0.0,0.04490785761047307,,,,,,[],"[null, null, null, null]",,1.3648929471032745,,0
005935.KS,삼성전자우,202500.0,162480168607500.0,Korea Equity,Unknown,0.795360638787227,0.0,0.5234102290672435,,,,,,[],"[null, null, null, null]",,0.795360638787227,,0
009150.KS,삼성전기,2127000.0,158873491392000.0,Korea Equity,Unknown,0.15244559362206422,0.0,0.00604887401295198,,,,,,[],"[null, null, null, null]",,0.15244559362206422,,0
005380.KS,현대차,723000.0,148039864818000.0,Korea Equity,Unknown,-0.048622084342065205,0.0,0.0317651092804856,,,,,,[],"[null, null, null, null]",,-0.048622084342065205,,0
373220.KS,LG에너지솔루션,458000.0,107172000000000.0,Korea Equity,Unknown,0.1778129155137097,0.0,0.007912043113011377,,,,,,[],"[null, null, null, null]",,0.1778129155137097,,0
032830.KS,삼성생명,388500.0,77700000000000.0,Korea Equity,Unknown,0.2284093746655727,0.0,0.006690440237701898,,,,,,[],"[null, null, null, null]",,0.2284093746655727,,0
329180.KS,HD현대중공업,696000.0,73053012600000.0,Korea Equity,Unknown,0.42661136697933494,0.0,0.027597458650495312,,,,,,[],"[null, null, null, null]",,0.42661136697933494,,0
028260.KS,삼성물산,432500.0,70137478782500.0,Korea Equity,Unknown,0.044272158529649476,0.0,0.03258494471217539,,,,,,[],"[null, null, null, null]",,0.044272158529649476,,0
012330.KS,현대모비스,768000.0,69682623744000.0,Korea Equity,Unknown,-0.023575256334634354,0.0,0.03625114745177136,,,,,,[],"[null, null, null, null]",,-0.023575256334634354,,0
